speaker,start_s,end_s,duration_s
Max,149.6,150.22,0.62
Riad,149.72,150.75,1.03
Max,150.46,150.75,0.29
Kush,150.69,152.66,1.97
Alicia,150.72,152.64,1.92
Riad,150.93,151.8,0.87
Max,150.93,151.78,0.85
Riad,152.33,154.94,2.61
Max,152.81,153.75,0.94
Kush,153.49,154.48,0.99
Alicia,153.5,154.47,0.97
Max,154.36,154.94,0.58
Kush,154.91,155.4,0.49
Alicia,155.04,155.67,0.63
Riad,155.1,158.66,3.56
Max,155.51,156.07,0.56
Max,156.39,156.8,0.41
Alicia,156.8,157.12,0.32
Max,156.97,157.34,0.37
Kush,157.32,160.21,2.89
Alicia,157.32,158.93,1.61
Max,157.62,158.07,0.45
Max,158.32,158.68,0.36
Alicia,159.12,159.72,0.6
Riad,159.78,160.65,0.87
Max,159.78,160.11,0.33
Alicia,159.89,160.14,0.25
Kush,160.9,161.98,1.08
Alicia,160.94,161.5,0.56
Riad,161.54,163.22,1.68
Max,161.54,163.13,1.59
Alicia,161.77,161.98,0.21
Kush,162.19,162.54,0.35
Alicia,162.31,162.53,0.22
Alicia,163.19,163.44,0.25
Kush,163.22,164.08,0.86
Riad,163.5,164.79,1.29
Max,163.64,164.07,0.43
Alicia,163.81,164.04,0.23
Max,164.28,164.67,0.39
Kush,164.37,165.39,1.02
Alicia,164.38,165.37,0.99
Max,164.95,165.47,0.52
Riad,164.96,167.27,2.31
Max,165.91,167.22,1.31
Kush,166.95,168.48,1.53
Alicia,166.95,168.18,1.23
Max,168.14,168.89,0.75
Riad,168.15,168.88,0.73
Kush,168.69,168.96,0.27
Alicia,168.69,168.97,0.28
Max,169.61,169.88,0.27
Riad,169.63,169.86,0.23
Alicia,169.94,171.68,1.74
Kush,170.23,171.54,1.31
Riad,170.68,171.46,0.78
Max,170.78,171.43,0.65
Max,171.78,171.99,0.21
Alicia,171.93,172.6,0.67
Kush,172.14,172.6,0.46
Riad,172.56,173.75,1.19
Max,172.63,173.67,1.04
Kush,173.4,174.96,1.56
Alicia,173.63,174.94,1.31
Riad,174.02,174.76,0.74
Max,174.02,175.7,1.68
Riad,175.12,175.66,0.54
Kush,175.27,176.08,0.81
Alicia,175.34,176.08,0.74
Max,175.91,176.44,0.53
Riad,175.92,176.44,0.52
Riad,176.64,177.03,0.39
Max,176.64,177.03,0.39
Alicia,176.78,179.04,2.26
Kush,176.92,179.33,2.41
Riad,177.7,178.12,0.42
Max,177.7,178.15,0.45
Riad,178.4,178.86,0.46
Max,178.4,178.88,0.48
Alicia,179.21,179.63,0.42
Riad,179.8,180.46,0.66
Max,179.8,180.49,0.69
Alicia,180.14,180.43,0.29
Alicia,181.23,182.23,1.0
Kush,181.68,182.2,0.52
Max,181.72,182.22,0.5
Riad,181.81,182.14,0.33
Max,182.86,183.09,0.23
Kush,183.63,183.91,0.28
Max,183.72,184.29,0.57
Riad,183.74,184.05,0.31
Kush,184.2,184.73,0.53
Alicia,184.24,184.68,0.44
Riad,184.64,187.44,2.8
Max,184.7,185.21,0.51
Max,185.37,185.81,0.44
Kush,186.28,186.92,0.64
Alicia,186.3,186.83,0.53
Max,186.92,187.41,0.49
Kush,187.71,190.44,2.73
Alicia,187.95,189.78,1.83
Riad,188.5,188.7,0.2
Max,188.93,189.3,0.37
Riad,189.46,191.58,2.12
Max,189.61,190.48,0.87
Max,190.66,191.3,0.64
Kush,190.94,191.57,0.63
Alicia,190.94,191.33,0.39
Alicia,191.93,193.13,1.2
Kush,191.99,192.58,0.59
Max,192.21,193.48,1.27
Kush,192.8,193.24,0.44
Riad,192.85,193.12,0.27
Kush,193.66,197.43,3.77
Alicia,193.67,195.2,1.53
Max,194.51,195.26,0.75
Riad,194.52,195.24,0.72
Alicia,195.43,197.05,1.62
Riad,195.7,195.98,0.28
Max,195.7,195.98,0.28
Riad,196.27,196.48,0.21
Max,196.27,197.81,1.54
Kush,197.95,198.61,0.66
Alicia,198.3,198.57,0.27
Riad,198.68,200.24,1.56
Max,198.72,199.04,0.32
Kush,198.99,200.65,1.66
Alicia,199.01,199.76,0.75
Max,199.39,199.63,0.24
Max,199.79,200.14,0.35
Alicia,199.99,200.58,0.59
Max,200.67,200.89,0.22
Riad,200.73,200.94,0.21
Kush,201.15,202.25,1.1
Alicia,201.15,201.98,0.83
Riad,201.64,202.22,0.58
Max,201.64,202.4,0.76
Max,202.7,203.27,0.57
Riad,202.71,203.08,0.37
Alicia,202.98,203.74,0.76
Riad,203.45,203.71,0.26
Kush,203.52,204.08,0.56
Riad,204.04,204.49,0.45
Max,204.06,204.62,0.56
Max,204.97,205.53,0.56
Alicia,205.96,206.25,0.29
Max,206.31,206.78,0.47
Alicia,206.66,206.87,0.21
Kush,207.21,207.82,0.61
Max,207.55,209.11,1.56
Riad,207.76,208.31,0.55
Kush,208.03,208.58,0.55
Alicia,208.04,208.39,0.35
Riad,208.53,209.11,0.58
Alicia,209.29,210.12,0.83
Kush,209.38,211.26,1.88
